sep=,
"Start date","End date",Country,ISO,Location,Latitude,Longitude,"Magnitude value","Magnitude scale","Disaster type","Disaster subtype","Associated disaster","Associated disaster2","Total deaths","Total affected","Total damage ('000 US$)","Insured losses ('000 US$)","Disaster name","Disaster No."
18/02/2017,23/02/2017,Botswana,BWA,"Kavimba, Lesoma, Paragarungu, Kasane, Kachikau (Chobe distrcit); Maun, Komana, Nxaraga (Okavango); Dukwi, Nata, Gweta, Mannoxai, Tsokotshaa (Central); Mabule, Good Hope, Letlhakane (Goodhope); Mohembo, Etsha 6, Etsha 13 (Ngamiland)",,,,Km2,Flood,--,--,--,0,3250,0,0,,2017-0079
09/01/2016,15/01/2016,Brazil,BRA,"Arapongas, Rolândia, Londrina districts (Parana province), Sao Paulo province, Aquidauana, Miranda, Dois Irmãos do Buriti, Taquarussu districts (Mato Grosso do Sul province)",-179.555,-56.44,110514.83,Km2,Flood,--,--,--,3,50500,100000,0,,2016-0033
10/03/2016,11/03/2016,Brazil,BRA,"Mairipora, Francisco Morato, Itapevi, Guarulhos, Cajamar districts (Sao Paulo province), Rio de Janeiro province",,,,Km2,Flood,"Flash flood","Slide (land, mud, snow, rock)",--,30,0,100000,0,,2016-0077
26/05/2017,10/06/2017,Brazil,BRA,"Pernambuco (Caruaru, Ipojuca, Joaquim Nabuco, Jurema, Lagoa dos Gatos, Primavera, Quipapá, Sirinhaém, Tamandaré, Xexéu, Belém de Maria, Gameleira, Palmares, Amaraji, Maraial, Ribeirão, Cortês, Barra de Guabiraba, São Benedito do Sul, Rio Formoso, Catende, Água Preta, Jaqueira, Barreiros), Alagoas (Metropolitan Region, Paraiba Valley, Mundau Valley, North Coast, Grota de Santo Amaro, Callejón de la Anastácia, Riacho Velho, Carrasco, Piedras, Malhadas, Barra Nova, Playa Francés, Sitio Auxiliadora, Macéio, Atalaia, São Luis do Quitunde, Satuba, União dos Palmares, Capela, Chã Preta, Colônia Leopoldina, Jacuípe, Jundiá, Marechal Deodoro, Paulo Jacinto, Pilar, Quebrangulo, Rio Largo, Santa Luzia do Norte, Santana do Mundaú, São José da Laje, Branquinha, Cajueiro, Palmeira dos índios, Pedoca)",-8.096,-38.231,266010.35,Km2,Flood,"Riverine flood","Slide (land, mud, snow, rock)",--,14,104140,100000,0,,2017-0202
21/06/2016,16/07/2016,"Burkina Faso",BFA,"Arr.3 (Zogo, Watinoma, sector 12 and 13), Arr. 4, Arr. 7 (Sondogo), Arr.8 (Bissighin), Arr. 10, Tanghlin Dassouri Arr. (Ouagadougou city, Kadiogo district, Centre province), Boucle du Mouhoun, Cascades, Centre-nord, Centre-ouest, Est, Hauts-bassins, Nord, Sahel provinces",,,,Km2,Flood,"Riverine flood",--,--,15,34893,0,0,,2016-0287
/07/2017,/07/2017,"Burkina Faso",BFA,"Oudalan province (Tin-Akoff commune)",,,,Km2,Flood,--,--,--,2,882,0,0,,2017-0368
16/03/2017,22/03/2017,Burundi,BDI,"Mabayi district (Cibitoke province);Bujumbura mairie (Butere, Kinama,...); Kiganda district (Muramvya province), Mutimbuzi district (Bujumbura Rural province)",,,,,Landslide,Landslide,Flood,--,6,810,0,0,,2017-0080
04/08/2017,29/08/2017,Cameroon,CMR,"Santchou, Bebong, Fondo Nera, Echiok, Nden-Ofoungouo, Fosso Ouasen Menoua Division",,,,Km2,Flood,"Flash flood",--,--,3,12890,0,0,,2017-0367
14/06/2016,21/06/2016,Canada,CAN,"Chetwynd, Lemoray, Dawson Creek, Link Creek, Braden Road, Mackenzie, Fort St. John cities (Peace River district, British Columbia/Colombie-Britannique province)",582.294,123.25,176099.51,Km2,Flood,--,--,--,0,300,0,0,,2016-0243
05/05/2017,20/05/2017,Canada,CAN,"Ottawa (Cumberland, Constance Bay,Fitzroy Harbour, Dunrobin, Britannia, West Carleton-March, MacLarens Landing), Champlain Township (Prescott and Russell), Lanark (Ontario);  Montreal, Gatineau, Laval (Quebec); Thompson Nicola (Cache Creek, Lower Nicola Indian Band) Columbia Shushwap (Tappen), Central Okanagan (Kelowna, West Kelowna, Lake country, Fintry Delta),North Okanogan (Lumby), Okanagan Similkameen (Garnett Valley,Summerland), Kootenay Boundary (Grand Forks) (British Colombia); Canadian Maritimes; York, Sunburry (Fredericton, Maugerville), Queens (Jemseg) (New Brunswick) ; Cape Breton Island (Nova Scotia)",45.575,-74.406,79149.2,Km2,Flood,--,--,--,2,16113,200000,91000,,2017-0126
28/08/2017,29/08/2017,Canada,CAN,"Windsor, Tecumseh, Essex (Ontario)",,,,Km2,Flood,--,--,--,0,3000,0,129000,,2017-0471
/01/2017,03/04/2017,"Central African Republic",CAF,"Kabo, Maka,Bozoum, Bossangoa, Mingala, Mbaïki,Ndolobo (Mbaiki), Ndjoh, La mbi (Bossembele), Bossembelé (Bossembele) cities",,,,Kph,Storm,"Convective storm",--,--,0,3690,0,0,,2017-0094
23/08/2017,31/08/2017,"Central African Republic",CAF,"Kouango city",,,,Km2,Flood,--,--,--,0,3500,0,0,,2017-0384
15/04/2016,18/04/2016,Chile,CHL,"Metropolitana district (Santiago province)",,,,Km2,Flood,"Riverine flood",--,--,12,100,100000,0,,2016-0118
24/02/2017,03/03/2017,Chile,CHL,"Santiago, Valparaiso, O'Higgins, Antofagasta, Coquimbo",-30.939,-70.249,,Km2,Flood,--,"Slide (land, mud, snow, rock)",--,3,1200,2000,0,,2017-0055
